# Logfile created on 2026-09-26 17:30:28 +0200 by logger.rb/v1.5.3
2026-09-26 17:30:28 +0200: Memory Usage (459900K) : psd_drw has 166 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460028K) : nldb_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460028K) : digibnd_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460156K) : via1_drw has 726 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460156K) : backmetal1_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460284K) : backmetal1_pin has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460284K) : backmetal1_mask has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460284K) : backmetal1_filler has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460412K) : backmetal1_nofill has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460412K) : backmetal1_slit has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460540K) : backmetal1_text has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460540K) : backmetal1_opc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460668K) : backmetal1_noqrc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460668K) : backmetal1_res has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460796K) : backmetal1_iprobe has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460924K) : backmetal1_diffprb has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (460924K) : backpassiv_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461052K) : res_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461052K) : sram_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461180K) : trans_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461180K) : ind_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461180K) : ind_pin has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461308K) : ind_text has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461308K) : salblock_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461436K) : via2_drw has 1033 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461436K) : metal3_drw has 1378 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461564K) : metal3_pin has 18 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461564K) : metal3_mask has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461692K) : metal3_filler has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461692K) : metal3_nofill has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461820K) : metal3_slit has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461820K) : metal3_text has 9 polygons
2026-09-26 17:30:28 +0200: Memory Usage (461948K) : metal3_opc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462076K) : metal3_noqrc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462076K) : metal3_res has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462076K) : metal3_iprobe has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462076K) : metal3_diffprb has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462204K) : nwell_drw has 462 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462204K) : nwell_pin has 129 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462204K) : nbulay_drw has 35 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462332K) : nbulay_pin has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462332K) : nbulay_block has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462332K) : emwind_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462460K) : emwind_opc has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462460K) : deepco_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462460K) : deepco_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462460K) : mim_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462588K) : edgeseal_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462588K) : edgeseal_bound has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462588K) : substrate_drw has 166 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462716K) : substrate_text has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462716K) : dfpad_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462844K) : dfpad_pillar has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462844K) : dfpad_sbump has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462972K) : thickgateox_drw has 0 polygons
2026-09-26 17:30:28 +0200: Memory Usage (462972K) : pldb_drw has 0 polygons
