# Logfile created on 2026-07-07 20:46:24 +0200 by logger.rb/v1.5.3
2026-07-07 20:46:24 +0200: Memory Usage (458964K) : nldb_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (458964K) : digibnd_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459092K) : via1_drw has 9 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459092K) : backmetal1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459220K) : backmetal1_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459220K) : backmetal1_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459220K) : backmetal1_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459348K) : backmetal1_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459348K) : backmetal1_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459476K) : backmetal1_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459476K) : backmetal1_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459604K) : backmetal1_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459604K) : backmetal1_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459732K) : backmetal1_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459732K) : backmetal1_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459732K) : backpassiv_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459860K) : res_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459860K) : sram_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459988K) : trans_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (459988K) : ind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460116K) : ind_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460116K) : ind_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460244K) : salblock_drw has 1 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460244K) : via2_drw has 4 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460372K) : metal3_drw has 9 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460500K) : metal3_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460500K) : metal3_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460500K) : metal3_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460628K) : metal3_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460628K) : metal3_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460756K) : metal3_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460756K) : metal3_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (460884K) : metal3_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461012K) : metal3_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461012K) : metal3_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461012K) : metal3_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461140K) : nwell_drw has 11 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461140K) : nwell_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461268K) : nbulay_drw has 8 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461268K) : nbulay_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461396K) : nbulay_block has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461396K) : emwind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461524K) : emwind_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461524K) : deepco_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461652K) : deepco_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461652K) : mim_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461780K) : edgeseal_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461908K) : edgeseal_bound has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461908K) : substrate_drw has 2 polygons
2026-07-07 20:46:24 +0200: Memory Usage (461908K) : substrate_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462036K) : dfpad_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462036K) : dfpad_pillar has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462164K) : dfpad_sbump has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462164K) : thickgateox_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462292K) : pldb_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462292K) : pwell_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462292K) : pwell_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462420K) : pwell_block has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462420K) : ic_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462548K) : via3_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462676K) : metal4_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462676K) : metal4_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462676K) : metal4_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462804K) : metal4_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462804K) : metal4_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462932K) : metal4_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (462932K) : metal4_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463060K) : metal4_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463060K) : metal4_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463060K) : metal4_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463188K) : metal4_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463316K) : metal4_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463316K) : heattrans_drw has 7 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463444K) : heatres_drw has 1 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463444K) : pempoly_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463572K) : fbe_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463572K) : empoly_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463572K) : ldmos_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463700K) : pbiwind_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463828K) : digisub_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463828K) : nodrc_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463956K) : text_drw has 8 polygons
2026-07-07 20:46:24 +0200: Memory Usage (463956K) : via4_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464084K) : metal5_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464084K) : metal5_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464084K) : metal5_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464212K) : metal5_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464212K) : metal5_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464340K) : metal5_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464340K) : metal5_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464340K) : metal5_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464468K) : metal5_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464468K) : metal5_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464596K) : metal5_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464596K) : metal5_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464724K) : radhard_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464852K) : memcap_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464852K) : varicap_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464980K) : flash_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (464980K) : intbondvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465108K) : intbondmet_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465108K) : devbondvia_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465236K) : devbondmet_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465236K) : devtrench_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465236K) : redist_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465364K) : graphbot_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465364K) : graphtop_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465492K) : antvia1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465492K) : antmetal2_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465620K) : graphcont_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465620K) : siwg_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465748K) : siwg_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465748K) : siwg_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465876K) : sigrating_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (465876K) : singrating_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466004K) : graphpas_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466004K) : emwind3_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466004K) : emwihv3_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466132K) : redbulay_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466132K) : smos_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466260K) : graphpad_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466260K) : polimide_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466388K) : polimide_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466516K) : recog_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466516K) : recog_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466516K) : recog_esd has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466644K) : recog_diode has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466644K) : recog_tsv has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466772K) : recog_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466772K) : recog_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466772K) : recog_pillar has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466900K) : recog_sbump has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466900K) : recog_otp has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (466900K) : recog_pdiode has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467028K) : recog_mom has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467028K) : recog_pcm has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467028K) : colopen_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467028K) : graphmetal1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467156K) : graphmetal1_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467156K) : graphmetal1_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467156K) : graphmetal1_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467284K) : graphmetal1_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467284K) : graphmet1l_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467284K) : graphmet1l_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467412K) : graphmet1l_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467412K) : graphmet1l_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467412K) : graphmet1l_opc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467412K) : extblock_drw has 3 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467540K) : nldd_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467540K) : pldd_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467668K) : next_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467668K) : pext_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467668K) : nexthv_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467796K) : pexthv_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467796K) : graphgate_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467924K) : sinwg_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (467924K) : sinwg_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468052K) : sinwg_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468052K) : mempad_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468052K) : topvia1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468180K) : topmetal1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468180K) : topmetal1_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468180K) : topmetal1_mask has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468308K) : topmetal1_filler has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468308K) : topmetal1_nofill has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468308K) : topmetal1_slit has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468436K) : topmetal1_text has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468436K) : topmetal1_noqrc has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468436K) : topmetal1_res has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468564K) : topmetal1_iprobe has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468564K) : topmetal1_diffprb has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468564K) : inldpwl_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468692K) : polyres_drw has 1 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468692K) : polyres_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468692K) : vmim_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468820K) : nbulaycut_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468820K) : antmetal1_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468948K) : topvia2_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468948K) : topmetal2_drw has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (468948K) : topmetal2_pin has 0 polygons
2026-07-07 20:46:24 +0200: Memory Usage (469076K) : topmetal2_mask has 0 polygons
