time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
1.438149870000000002e-08 5.415748750000000215e-03 2.912742049999999940e-07 2.308889370000000002e-08 4.141102320000000225e-01 -3.233306449999999814e-08 5.794081650000000281e-06 -6.227009359999999914e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.538149869999999905e-08 5.452951549999999689e-03 4.150740740000000318e-08 -2.223871660000000047e-08 4.169372239999999952e-01 3.123197430000000142e-08 -5.806882319999999649e-06 1.139856320000000035e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.638149870000000138e-08 5.489007800000000013e-03 2.892328429999999929e-07 2.326579550000000067e-08 4.195343380000000066e-01 -3.228082880000000135e-08 5.797196230000000251e-06 -6.230950449999999760e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.738149870000000041e-08 5.524204250000000309e-03 4.073219349999999754e-08 -2.210189659999999846e-08 4.219346119999999867e-01 3.128396349999999738e-08 -5.804083599999999847e-06 1.134920099999999993e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.838149869999999944e-08 5.558786080000000136e-03 2.894858579999999901e-07 2.336427000000000001e-08 4.241505919999999930e-01 -3.219339879999999724e-08 5.799250100000000362e-06 -6.236790459999999853e-06 0.000000000000000000e+00 0.000000000000000000e+00
1.938149869999999847e-08 5.592939489999999673e-03 4.178867069999999712e-08 -2.201268410000000020e-08 4.262071049999999750e-01 3.134937820000000310e-08 -5.802151419999999650e-06 1.128357009999999980e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.038149870000000081e-08 5.626829409999999955e-03 2.912081120000000053e-07 2.343435569999999917e-08 4.281110370000000276e-01 -3.210540270000000292e-08 5.800594259999999925e-06 -6.243978200000000390e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.138149869999999983e-08 5.660578010000000271e-03 4.402616739999999708e-08 -2.194088389999999879e-08 4.298828299999999936e-01 3.140862269999999740e-08 -5.800804890000000172e-06 1.120701380000000053e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.238149869999999886e-08 5.694298490000000192e-03 2.938781540000000089e-07 2.349389890000000100e-08 4.315260980000000246e-01 -3.202717050000000259e-08 5.801453370000000319e-06 -6.252021769999999587e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.338149870000000120e-08 5.728070899999999910e-03 4.701936179999999856e-08 -2.187597390000000010e-08 4.330585180000000034e-01 3.145681649999999780e-08 -5.799862709999999774e-06 1.112396969999999949e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.438149870000000023e-08 5.761973729999999780e-03 2.971435649999999875e-07 2.354880949999999847e-08 4.344815459999999963e-01 -3.196027390000000259e-08 5.801973929999999763e-06 -6.260527269999999637e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.538149869999999926e-08 5.796058169999999954e-03 5.047250319999999852e-08 -2.181463390000000122e-08 4.358108889999999791e-01 3.149416870000000313e-08 -5.799205500000000359e-06 1.103791439999999995e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.638149870000000159e-08 5.830378490000000420e-03 3.007534520000000182e-07 2.360077710000000078e-08 4.370464390000000088e-01 -3.190349089999999720e-08 5.802253630000000051e-06 -6.269189889999999585e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.738149870000000062e-08 5.864965379999999978e-03 5.417111880000000063e-08 -2.175599959999999960e-08 4.382023930000000234e-01 3.152232370000000157e-08 -5.798752470000000027e-06 1.095151340000000000e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.838149869999999965e-08 5.899855669999999781e-03 3.045234390000000108e-07 2.365013720000000074e-08 4.392774480000000148e-01 -3.185499339999999760e-08 5.802359689999999807e-06 -6.277777560000000185e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.938149869999999868e-08 5.935065100000000253e-03 5.795626129999999855e-08 -2.169993939999999963e-08 4.402845959999999725e-01 3.154307240000000318e-08 -5.798447020000000140e-06 1.086678030000000041e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.038149869999999771e-08 5.970617650000000116e-03 3.083163769999999840e-07 2.369687729999999931e-08 4.412215979999999926e-01 -3.181307260000000169e-08 5.802340080000000034e-06 -6.286116549999999943e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.138149870000000004e-08 6.006517979999999833e-03 6.170977389999999379e-08 -2.164647219999999905e-08 4.421004669999999970e-01 3.155796319999999861e-08 -5.798248119999999880e-06 1.078520449999999990e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.238149870000000238e-08 6.042780549999999737e-03 3.120308219999999863e-07 2.374095680000000010e-08 4.429182240000000270e-01 -3.177632299999999985e-08 5.802230079999999962e-06 -6.294080349999999672e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.338149869999999810e-08 6.079401800000000175e-03 6.534507120000000332e-08 -2.159559589999999885e-08 4.436860739999999859e-01 3.156823329999999844e-08 -5.798125200000000375e-06 1.070784819999999972e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.438149870000000044e-08 6.116389180000000002e-03 3.155934589999999833e-07 2.378238640000000155e-08 4.444004540000000003e-01 -3.174364320000000164e-08 5.802056240000000398e-06 -6.301581110000000239e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.538149870000000277e-08 6.153733110000000200e-03 6.880075889999999937e-08 -2.154725610000000154e-08 4.450718980000000213e-01 3.157484119999999885e-08 -5.798055120000000270e-06 1.063542349999999955e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.638149869999999849e-08 6.191435959999999974e-03 3.189536029999999745e-07 2.382123170000000142e-08 4.456963760000000052e-01 -3.171418589999999999e-08 5.801838800000000224e-06 -6.308562739999999985e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.738149870000000083e-08 6.229483860000000102e-03 7.203578250000000244e-08 -2.150135319999999853e-08 4.462838610000000039e-01 3.157852149999999908e-08 -5.798020230000000127e-06 1.056835539999999947e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.838149870000000317e-08 6.267875640000000054e-03 3.220788390000000066e-07 2.385759930000000061e-08 4.468299569999999998e-01 -3.168730269999999999e-08 5.801593160000000245e-06 -6.314994990000000350e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.938149869999999889e-08 6.306594500000000172e-03 7.502546359999999407e-08 -2.145775709999999964e-08 4.473441570000000200e-01 3.157983659999999975e-08 -5.798007100000000143e-06 1.050683699999999905e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.038149870000000122e-08 6.345636959999999618e-03 3.249513779999999774e-07 2.389162190000000004e-08 4.478217729999999785e-01 -3.166249689999999716e-08 5.801331010000000304e-06 -6.320868320000000186e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.138149869999999694e-08 6.384984350000000135e-03 7.775812779999999825e-08 -2.141631969999999901e-08 4.482718920000000051e-01 3.157921769999999933e-08 -5.798005640000000353e-06 1.045087789999999921e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.238149869999999928e-08 6.424631830000000245e-03 3.275649249999999748e-07 2.392344739999999890e-08 4.486895920000000260e-01 -3.163938669999999881e-08 5.801061100000000165e-06 -6.326189300000000244e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.338149870000000162e-08 6.464559729999999615e-03 8.023218730000000185e-08 -2.137688350000000102e-08 4.490836080000000230e-01 3.157699769999999972e-08 -5.798008340000000406e-06 1.040034719999999946e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.438149869999999734e-08 6.504762550000000275e-03 3.299219689999999748e-07 2.395323089999999864e-08 4.494488320000000203e-01 -3.161767649999999676e-08 5.800789859999999649e-06 -6.330976649999999822e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.538149869999999967e-08 6.545220279999999780e-03 8.245362530000000631e-08 -2.133928810000000088e-08 4.497936889999999965e-01 3.157343530000000233e-08 -5.798009779999999701e-06 1.035501050000000078e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.638149870000000201e-08 6.585927339999999609e-03 3.320314490000000046e-07 2.398112970000000144e-08 4.501129260000000243e-01 -3.159713559999999853e-08 5.800521859999999875e-06 -6.335257750000000407e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.738149869999999773e-08 6.626863810000000431e-03 8.443385560000000051e-08 -2.130337410000000071e-08 4.504146909999999782e-01 3.156873340000000070e-08 -5.798006209999999668e-06 1.031456230000000035e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.838149870000000007e-08 6.668024429999999843e-03 3.339068050000000075e-07 2.400729900000000052e-08 4.506936149999999919e-01 -3.157758210000000072e-08 5.800260230000000126e-06 -6.339065710000000344e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.938149870000000241e-08 6.709389760000000064e-03 8.618794100000000162e-08 -2.126898610000000060e-08 4.509576020000000129e-01 3.156305319999999988e-08 -5.797995099999999812e-06 1.027865250000000086e-06 0.000000000000000000e+00 0.000000000000000000e+00
