corner temp vp vph vout_max vout_avg
mos_sf 125 1.08 3.1 3.11434e+00 1.61355e+00
mos_sf 125 1.08 3.3 3.30733e+00 1.67922e+00
mos_sf 125 1.08 3.5 3.50122e+00 1.68229e+00
mos_sf 125 1.2 3.1 3.11895e+00 1.70418e+00
mos_sf 125 1.2 3.3 3.31973e+00 1.79398e+00
mos_sf 125 1.2 3.5 3.51275e+00 1.87177e+00
mos_sf 125 1.32 3.1 3.11944e+00 1.73005e+00
mos_sf 125 1.32 3.3 3.32031e+00 1.82532e+00
mos_sf 125 1.32 3.5 3.52087e+00 1.92285e+00
mos_fs -25 1.08 3.1 3.11931e+00 1.64491e+00
mos_fs -25 1.08 3.3 3.31415e+00 1.73437e+00
mos_fs -25 1.08 3.5 3.51450e+00 1.82088e+00
mos_fs -25 1.2 3.1 3.11948e+00 1.65284e+00
mos_fs -25 1.2 3.3 3.32013e+00 1.74924e+00
mos_fs -25 1.2 3.5 3.52068e+00 1.84496e+00
mos_fs -25 1.32 3.1 3.11907e+00 1.64836e+00
mos_fs -25 1.32 3.3 3.31983e+00 1.74944e+00
mos_fs -25 1.32 3.5 3.51991e+00 1.83683e+00
mos_fs 27 1.08 3.1 3.12032e+00 1.65687e+00
mos_fs 27 1.08 3.3 3.31935e+00 1.74000e+00
mos_fs 27 1.08 3.5 3.51682e+00 1.82558e+00
mos_fs 27 1.2 3.1 3.11820e+00 1.66949e+00
mos_fs 27 1.2 3.3 3.31890e+00 1.76421e+00
mos_fs 27 1.2 3.5 3.51990e+00 1.86319e+00
mos_fs 27 1.32 3.1 3.12095e+00 1.67823e+00
mos_fs 27 1.32 3.3 3.32175e+00 1.77404e+00
mos_fs 27 1.32 3.5 3.52101e+00 1.86625e+00
mos_fs 125 1.08 3.1 3.11688e+00 1.64790e+00
mos_fs 125 1.08 3.3 3.31677e+00 1.73604e+00
mos_fs 125 1.08 3.5 3.51580e+00 1.83656e+00
mos_fs 125 1.2 3.1 3.11934e+00 1.68782e+00
mos_fs 125 1.2 3.3 3.31956e+00 1.77244e+00
mos_fs 125 1.2 3.5 3.51936e+00 1.87091e+00
mos_fs 125 1.32 3.1 3.11141e+00 1.70421e+00
mos_fs 125 1.32 3.3 3.31184e+00 1.79394e+00
mos_fs 125 1.32 3.5 3.51673e+00 1.88944e+00
