time vout i_vip i_vin v_bias_p v_bias_n
2.628000000000000024e-09 1.067299620000000004e+00 9.409771169999999424e-12 5.916439299999999779e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.728000000000000092e-09 1.067299620000000004e+00 9.409770690000000116e-12 5.916444720000000444e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.828000000000000160e-09 1.067299620000000004e+00 9.409780970000000234e-12 5.916437519999999721e-13 7.253139659999999767e-01 7.191784310000000069e-01
2.927999999999999815e-09 1.067299620000000004e+00 9.409751709999999823e-12 5.916449060000000041e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.027999999999999883e-09 1.067299620000000004e+00 9.409758510000000517e-12 5.916436399999999922e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.127999999999999952e-09 1.067299620000000004e+00 9.409821180000000505e-12 5.916450260000000330e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.228000000000000020e-09 1.067299620000000004e+00 9.409780160000000090e-12 5.916441079999999837e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.328000000000000088e-09 1.067299620000000004e+00 9.409772370000000117e-12 5.916437400000000500e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.428000000000000156e-09 1.067299620000000004e+00 9.409767270000000404e-12 5.916440880000000125e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.527999999999999811e-09 1.067299620000000004e+00 9.409781980000000494e-12 5.916442050000000357e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.627999999999999879e-09 1.067299620000000004e+00 9.409802300000000269e-12 5.916444560000000473e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.728000000000000361e-09 1.067299620000000004e+00 9.409775880000000204e-12 5.916441119999999577e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.827999999999999602e-09 1.067299620000000004e+00 9.409764859999999336e-12 5.916443010000000184e-13 7.253139659999999767e-01 7.191784310000000069e-01
3.927999999999999671e-09 1.067299620000000004e+00 9.409826949999999958e-12 5.916443110000000039e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.027999999999999739e-09 1.067299620000000004e+00 9.409751580000000717e-12 5.916439139999999808e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.127999999999999807e-09 1.067299620000000004e+00 9.409755200000000545e-12 5.916441390000000097e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.227999999999999875e-09 1.067299620000000004e+00 9.409835440000000336e-12 5.916445650000000213e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.327999999999999944e-09 1.067299620000000004e+00 9.409804640000000327e-12 5.916439280000000413e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.428000000000000012e-09 1.067299620000000004e+00 9.409769510000000404e-12 5.916441299999999924e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.528000000000000080e-09 1.067299620000000004e+00 9.409764050000000807e-12 5.916446470000000444e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.628000000000000148e-09 1.067299620000000004e+00 9.409744729999999994e-12 5.916435250000000066e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.728000000000000217e-09 1.067299620000000004e+00 9.409825980000000044e-12 5.916447340000000098e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.828000000000000285e-09 1.067299620000000004e+00 9.409804180000000385e-12 5.916443360000000184e-13 7.253139659999999767e-01 7.191784310000000069e-01
4.928000000000000353e-09 1.067299620000000004e+00 9.409744029999999590e-12 5.916438870000000298e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.027999999999999594e-09 1.067299620000000004e+00 9.409747610000000687e-12 5.916443840000000097e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.127999999999999663e-09 1.067299620000000004e+00 9.409806170000000241e-12 5.916442989999999809e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.227999999999999731e-09 1.067299620000000004e+00 9.409852800000000340e-12 5.916439640000000096e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.327999999999999799e-09 1.067299620000000004e+00 9.409787780000000611e-12 5.916446410000000329e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.427999999999999867e-09 1.067299620000000004e+00 9.409755650000000804e-12 5.916437380000000124e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.527999999999999936e-09 1.067299620000000004e+00 9.409740249999999993e-12 5.916447020000000156e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.628000000000000004e-09 1.067299620000000004e+00 9.409730039999999269e-12 5.916440059999999894e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.728000000000000072e-09 1.067299620000000004e+00 9.409804430000000529e-12 5.916443049999999924e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.828000000000000140e-09 1.067299620000000004e+00 9.409844939999999357e-12 5.916439670000000154e-13 7.253139659999999767e-01 7.191784310000000069e-01
5.928000000000000209e-09 1.067299620000000004e+00 9.409773990000000406e-12 5.916444470000000299e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.028000000000000277e-09 1.067299620000000004e+00 9.409733689999999760e-12 5.916443379999999549e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.128000000000000345e-09 1.067299620000000004e+00 9.409810740000000617e-12 5.916440550000000500e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.228000000000000414e-09 1.067299620000000004e+00 9.409839729999999904e-12 5.916443049999999924e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.327999999999999655e-09 1.067299620000000004e+00 9.409791989999999487e-12 5.916442920000000011e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.427999999999999723e-09 1.067299620000000004e+00 9.409759380000000373e-12 5.916440120000000010e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.527999999999999791e-09 1.067299620000000004e+00 9.409731039999999846e-12 5.916442750000000357e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.627999999999999859e-09 1.067299620000000004e+00 9.409763960000000432e-12 5.916444660000000328e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.727999999999999928e-09 1.067299620000000004e+00 9.409823380000000159e-12 5.916441979999999549e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.827999999999999996e-09 1.067299620000000004e+00 9.409783420000000033e-12 5.916437720000000442e-13 7.253139659999999767e-01 7.191784310000000069e-01
6.928000000000000064e-09 1.067299620000000004e+00 9.409750980000000370e-12 5.916450379999999551e-13 7.253139659999999767e-01 7.191784310000000069e-01
7.028000000000000132e-09 1.067299620000000004e+00 9.409782409999999773e-12 5.916435349999999922e-13 7.253139659999999767e-01 7.191784310000000069e-01
7.128000000000000201e-09 1.067299620000000004e+00 9.409795759999999402e-12 5.916447490000000387e-13 7.253139659999999767e-01 7.191784310000000069e-01
