time vout i_vip i_vin v_bias_p v_bias_n i_vdn2 i_vup2 i_vvp v_up
2.640194709999999846e-08 1.402489259999999995e-02 1.123693680000000034e-07 7.191120200000000601e-08 4.851569470000000051e-01 -7.220584790000000099e-08 5.619644320000000206e-06 -6.505263479999999871e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.740194710000000080e-08 1.405910150000000067e-02 2.464042390000000074e-07 -6.682445259999999872e-08 4.861236800000000025e-01 7.175254140000000339e-08 -5.614603999999999683e-06 -4.445408219999999995e-07 0.000000000000000000e+00 0.000000000000000000e+00
2.840194709999999983e-08 1.409375099999999985e-02 1.171943979999999982e-07 7.193062380000000650e-08 4.870079210000000103e-01 -7.212163470000000321e-08 5.619649559999999733e-06 -6.516078249999999839e-06 0.000000000000000000e+00 0.000000000000000000e+00
2.940194709999999886e-08 1.412885009999999969e-02 2.511556290000000066e-07 -6.676888859999999479e-08 4.878305450000000043e-01 7.176516529999999585e-08 -5.614393950000000270e-06 -4.547837510000000012e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.040194709999999789e-08 1.416441440000000031e-02 1.218969779999999959e-07 7.194941390000000249e-08 4.885833680000000179e-01 -7.204847390000000153e-08 5.619526519999999792e-06 -6.526280779999999830e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.140194710000000022e-08 1.420044129999999995e-02 2.557373920000000015e-07 -6.671415390000000542e-08 4.892858990000000241e-01 7.176809589999999367e-08 -5.614287969999999957e-06 -4.643732629999999997e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.240194710000000256e-08 1.423693690000000026e-02 1.263912100000000041e-07 7.196690879999999590e-08 4.899289059999999973e-01 -7.198366320000000306e-08 5.619318969999999706e-06 -6.535795230000000021e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.340194709999999828e-08 1.427389060000000022e-02 2.600794869999999756e-07 -6.666074199999999434e-08 4.905308059999999859e-01 7.176366410000000038e-08 -5.614249179999999643e-06 -4.732532960000000242e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.440194710000000062e-08 1.431130190000000010e-02 1.306208750000000119e-07 7.198275770000000061e-08 4.910815579999999736e-01 -7.192519789999999907e-08 5.619057990000000409e-06 -6.544582979999999656e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.540194710000000295e-08 1.434915500000000059e-02 2.641378429999999922e-07 -6.660889079999999605e-08 4.915986909999999765e-01 7.175359679999999902e-08 -5.614251460000000290e-06 -4.814003100000000221e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.640194709999999867e-08 1.438744490000000084e-02 1.345524859999999889e-07 7.199681700000000396e-08 4.920715460000000263e-01 -7.187159410000000127e-08 5.618765559999999895e-06 -6.552633710000000262e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.740194710000000101e-08 1.442615239999999951e-02 2.678882390000000163e-07 -6.655867500000000622e-08 4.925169320000000184e-01 7.173917439999999408e-08 -5.614276399999999704e-06 -4.888152710000000036e-07 0.000000000000000000e+00 0.000000000000000000e+00
3.840194709999999673e-08 1.446527010000000016e-02 1.381698500000000109e-07 7.200907070000000083e-08 4.929237109999999866e-01 -7.182174960000000572e-08 5.618457129999999786e-06 -6.559958130000000244e-06 0.000000000000000000e+00 0.000000000000000000e+00
3.940194709999999907e-08 1.450477650000000021e-02 2.713214440000000205e-07 -6.651007159999999436e-08 4.933081000000000271e-01 7.172135180000000044e-08 -5.614311180000000083e-06 -4.955171409999999848e-07 0.000000000000000000e+00 0.000000000000000000e+00
4.040194710000000140e-08 1.454466289999999974e-02 1.414697010000000095e-07 7.201957680000000310e-08 4.936586000000000030e-01 -7.177483999999999448e-08 5.618143370000000036e-06 -6.566582180000000101e-06 0.000000000000000000e+00 0.000000000000000000e+00
4.140194709999999712e-08 1.458490699999999939e-02 2.744392990000000125e-07 -6.646300259999999517e-08 4.939909319999999937e-01 7.170084620000000188e-08 -5.614347019999999650e-06 -5.015375919999999766e-07 0.000000000000000000e+00 0.000000000000000000e+00
