# Logfile created on 2026-07-09 21:56:57 +0200 by logger.rb/v1.5.3
2026-07-09 21:56:57 +0200: Memory Usage (459148K) : nldb_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459148K) : digibnd_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459148K) : via1_drw has 11 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459276K) : backmetal1_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459276K) : backmetal1_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459404K) : backmetal1_mask has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459404K) : backmetal1_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459532K) : backmetal1_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459532K) : backmetal1_slit has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459532K) : backmetal1_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459660K) : backmetal1_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459660K) : backmetal1_noqrc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459788K) : backmetal1_res has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459788K) : backmetal1_iprobe has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459916K) : backmetal1_diffprb has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459916K) : backpassiv_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (459916K) : res_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460044K) : sram_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460044K) : trans_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460172K) : ind_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460300K) : ind_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460300K) : ind_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460300K) : salblock_drw has 1 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460428K) : via2_drw has 6 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460556K) : metal3_drw has 12 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460556K) : metal3_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460684K) : metal3_mask has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460684K) : metal3_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460684K) : metal3_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460812K) : metal3_slit has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460812K) : metal3_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460940K) : metal3_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (460940K) : metal3_noqrc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461068K) : metal3_res has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461196K) : metal3_iprobe has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461196K) : metal3_diffprb has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461196K) : nwell_drw has 11 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461324K) : nwell_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461324K) : nbulay_drw has 8 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461452K) : nbulay_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461452K) : nbulay_block has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461580K) : emwind_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461708K) : emwind_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461708K) : deepco_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461708K) : deepco_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461836K) : mim_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461964K) : edgeseal_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (461964K) : edgeseal_bound has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462092K) : substrate_drw has 2 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462092K) : substrate_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462092K) : dfpad_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462220K) : dfpad_pillar has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462220K) : dfpad_sbump has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462348K) : thickgateox_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462348K) : pldb_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462476K) : pwell_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462476K) : pwell_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462476K) : pwell_block has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462604K) : ic_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462604K) : via3_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462732K) : metal4_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462860K) : metal4_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462860K) : metal4_mask has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462860K) : metal4_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462988K) : metal4_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (462988K) : metal4_slit has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463116K) : metal4_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463116K) : metal4_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463244K) : metal4_noqrc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463244K) : metal4_res has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463244K) : metal4_iprobe has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463372K) : metal4_diffprb has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463500K) : heattrans_drw has 8 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463500K) : heatres_drw has 1 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463628K) : pempoly_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463628K) : fbe_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463756K) : empoly_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463756K) : ldmos_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463884K) : pbiwind_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (463884K) : digisub_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464012K) : nodrc_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464012K) : text_drw has 9 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464140K) : via4_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464140K) : metal5_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464140K) : metal5_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464268K) : metal5_mask has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464268K) : metal5_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464396K) : metal5_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464396K) : metal5_slit has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464524K) : metal5_text has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464524K) : metal5_opc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464524K) : metal5_noqrc has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464652K) : metal5_res has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464652K) : metal5_iprobe has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464780K) : metal5_diffprb has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464908K) : radhard_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (464908K) : memcap_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465036K) : varicap_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465036K) : flash_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465164K) : intbondvia_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465164K) : intbondmet_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465292K) : devbondvia_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465292K) : devbondmet_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465420K) : devtrench_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465420K) : redist_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465548K) : graphbot_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465548K) : graphtop_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465548K) : antvia1_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465676K) : antmetal2_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465676K) : graphcont_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465804K) : siwg_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465804K) : siwg_filler has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465932K) : siwg_nofill has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (465932K) : sigrating_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466060K) : singrating_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466060K) : graphpas_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466188K) : emwind3_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466188K) : emwihv3_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466316K) : redbulay_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466316K) : smos_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466316K) : graphpad_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466444K) : polimide_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466444K) : polimide_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466572K) : recog_drw has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466700K) : recog_pin has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466700K) : recog_esd has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466828K) : recog_diode has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466828K) : recog_tsv has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466828K) : recog_iprobe has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466956K) : recog_diffprb has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466956K) : recog_pillar has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466956K) : recog_sbump has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (466956K) : recog_otp has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (467084K) : recog_pdiode has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (467084K) : recog_mom has 0 polygons
2026-07-09 21:56:57 +0200: Memory Usage (467084K) : recog_pcm has 0 polygons
