# Logfile created on 2026-04-08 19:06:46 +0200 by logger.rb/v1.5.3
2026-04-08 19:06:46 +0200: Memory Usage (443156K) : psd_drw has 2 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443156K) : nldb_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443412K) : digibnd_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443412K) : via1_drw has 3 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443668K) : backmetal1_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443668K) : backmetal1_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443924K) : backmetal1_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (443924K) : backmetal1_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444180K) : backmetal1_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444180K) : backmetal1_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444436K) : backmetal1_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444436K) : backmetal1_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444436K) : backmetal1_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444692K) : backmetal1_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444692K) : backmetal1_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444948K) : backmetal1_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444948K) : backpassiv_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (444948K) : res_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445204K) : sram_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445204K) : trans_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445460K) : ind_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445460K) : ind_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445716K) : ind_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445716K) : salblock_drw has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445972K) : via2_drw has 3 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445972K) : metal3_drw has 1 polygons
2026-04-08 19:06:46 +0200: Memory Usage (445972K) : metal3_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446228K) : metal3_mask has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446228K) : metal3_filler has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446484K) : metal3_nofill has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446484K) : metal3_slit has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446484K) : metal3_text has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446740K) : metal3_opc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446740K) : metal3_noqrc has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446996K) : metal3_res has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (446996K) : metal3_iprobe has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447252K) : metal3_diffprb has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447252K) : nwell_drw has 1 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447508K) : nwell_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447508K) : nbulay_drw has 1 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447508K) : nbulay_pin has 0 polygons
2026-04-08 19:06:46 +0200: Memory Usage (447764K) : nbulay_block has 0 polygons
